,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1,20740497,UNICEF_ORS,COUNTRY,KEN,YEAR,1993,,,,,,,,,31.6,31.6,,,KEN_DHS 1993,2019-04-26T14:47:08.08+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
2,20740498,UNICEF_ORS,COUNTRY,KEN,YEAR,1998,,,,,,,,,36.9,36.9,,,KEN_DHS 1998,2019-04-26T14:47:08.1+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
3,20740499,UNICEF_ORS,COUNTRY,KEN,YEAR,2000,,,,,,,,,39.2,39.2,,,KEN_MICS 2000,2019-04-26T14:47:08.12+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4,20740500,UNICEF_ORS,COUNTRY,KEN,YEAR,2003,,,,,,,,,29.2,29.2,,,KEN_DHS 2003,2019-04-26T14:47:08.14+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
5,20740501,UNICEF_ORS,COUNTRY,KEN,YEAR,2009,,,,,,,,,38.8,38.8,,,KEN_DHS 2008-2009,2019-04-26T14:47:08.16+02:00,2008-2009,2008-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6,20740502,UNICEF_ORS,COUNTRY,KEN,YEAR,2014,,,,,,,,,53.8,53.8,,,KEN_DHS 2014,2019-04-26T14:47:08.18+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
