,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1,19744180,WSH_10_WAT,COUNTRY,KEN,YEAR,2016,SEX,FMLE,AGEGROUP,YEARSALL,,,,,6523,6522.70037,,,,2018-08-16T14:01:59.2+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2,19744223,WSH_10_WAT,COUNTRY,KEN,YEAR,2016,SEX,MLE,AGEGROUP,YEARSALL,,,,,6821,6820.55959,,,,2018-08-16T14:02:00.97+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3,19744273,WSH_10_WAT,COUNTRY,KEN,YEAR,2016,SEX,BTSX,AGEGROUP,YEARSALL,,,,,13343,13343.25997,,,,2018-08-16T14:02:02.82+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4,19744477,WSH_10_WAT,COUNTRY,KEN,YEAR,2016,SEX,BTSX,AGEGROUP,YEARSUNDER5,,,,,1810,1810.0,,,,2018-08-16T14:02:12.147+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
