,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24,26049334,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2007,RESIDENCEAREATYPE,URB,,,,,,,87,86.9173,,,,2021-06-23T13:15:39.77+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
25,26049335,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,RUR,,,,,,,43,43.27044,,,,2021-06-23T13:15:39.803+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
26,26049336,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,TOTL,,,,,,,53,53.22295,,,,2021-06-23T13:15:39.817+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
27,26049337,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2008,RESIDENCEAREATYPE,URB,,,,,,,87,86.92182,,,,2021-06-23T13:15:39.833+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
28,26049338,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,RUR,,,,,,,44,43.99145,,,,2021-06-23T13:15:39.863+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
29,26049339,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,TOTL,,,,,,,54,53.94504,,,,2021-06-23T13:15:39.88+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
30,26049340,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2009,RESIDENCEAREATYPE,URB,,,,,,,87,86.92632,,,,2021-06-23T13:15:39.91+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
31,26049341,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,RUR,,,,,,,45,44.71031,,,,2021-06-23T13:15:39.927+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
32,26049342,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,55,54.6621,,,,2021-06-23T13:15:39.943+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
33,26049343,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2010,RESIDENCEAREATYPE,URB,,,,,,,87,86.93082,,,,2021-06-23T13:15:39.99+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
34,26049344,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,RUR,,,,,,,45,45.427,,,,2021-06-23T13:15:40.007+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
35,26049345,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,55,55.37613,,,,2021-06-23T13:15:40.02+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
36,26049346,WSH_WATER_BASIC,COUNTRY,KEN,YEAR,2011,RESIDENCEAREATYPE,URB,,,,,,,87,86.9353,,,,2021-06-23T13:15:40.053+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
